name,customer_avg_amout_1_day,customer_avg_amount_7_day,customer_avg_amount_30_day,merchant_num_trans_1_day,merchant_num_trans_7_day,merchant_num_trans_30_day,merchant_risk_1_day,merchant_risk_7_day,merchant_risk_30_day,merchant_risk_90_day,combined_anomaly_score,per_field_anomaly,combined_anomaly,is_anomaly,customer_avg_amout_1_day_z,customer_avg_amount_7_day_z,customer_avg_amount_30_day_z,merchant_num_trans_1_day_z,merchant_num_trans_7_day_z,merchant_num_trans_30_day_z,merchant_risk_1_day_z,merchant_risk_7_day_z,merchant_risk_30_day_z,merchant_risk_90_day_z,combined_abs_z,flag_per_field,flag_combined
Justin Gates,29.42428571,51.16285714,31.68571429,2589.715714,79041.97143,469447.5371,1.857142857,4.714285714,14.57142857,26.14285714,39.98144188,TRUE,TRUE,TRUE,-4.919571942,1.820029533,-1.603195198,0.221368993,8.337040782,-2.238977208,-5.86028043,-9.889976424,-2.721059553,-2.369941814,39.98144188,TRUE,TRUE
Brooke Villanueva,53.37428571,64.56714286,45.49857143,2950.881429,66050.48429,765116.2543,5.428571429,8.857142857,19.42857143,31,39.48753538,TRUE,TRUE,TRUE,2.433160851,6.160306156,4.1588553,2.277674197,4.540532428,5.50378895,6.880992531,-0.858659511,5.732727147,0.940838313,39.48753538,TRUE,TRUE
Jerry Miller,53.78,29.60857143,42.50714286,2403.282857,46223.20143,595276.6643,5.428571429,13.28571429,18.85714286,36.85714286,39.12564754,TRUE,TRUE,TRUE,2.557716539,-5.159198187,2.910977159,-0.840090718,-1.253603698,1.056148217,6.880992531,8.795506845,4.738164006,4.933249642,39.12564754,TRUE,TRUE
Mitchell Harrison,38.38428571,39.69142857,43.04142857,1407.011429,61109.36,681084.8271,3,6.571428571,13.14285714,20.57142857,39.10886807,TRUE,TRUE,TRUE,-2.168820968,-1.894392431,3.133855108,-6.512384745,3.096585371,3.303232541,-1.783073082,-5.841455049,-5.207467405,-6.167601371,39.10886807,TRUE,TRUE
Margaret Sanchez,28.191,41.566,32.796,1586.393,70185.877,443067.324,5.4,11.4,18.1,27.6,38.15637779,TRUE,TRUE,TRUE,-5.29819492,-1.287410551,-1.140038134,-5.49107169,5.749020172,-2.929803832,6.779062347,4.684700526,3.420367844,-1.376707776,38.15637779,TRUE,TRUE
Brian Black,28.37714286,54.84571429,25.88428571,2524.274286,53709.09286,676918.1829,5.285714286,11.71428571,19.71428571,34.85714286,38.09736384,TRUE,TRUE,TRUE,-5.241048419,3.012530133,-4.023268326,-0.151223269,0.934001849,3.194119367,6.371341613,5.369834912,6.230008718,3.569987237,38.09736384,TRUE,TRUE
Jordan Martin,39.19285714,48.32285714,22.12428571,2258.738571,28860.09,523977.6957,1.571428571,6.571428571,12.71428571,26.71428571,37.8693234,TRUE,TRUE,TRUE,-1.920586745,0.90044412,-5.591756991,-1.663056894,-6.327633858,-0.810979446,-6.879582267,-5.841455049,-5.953389761,-1.980438269,37.8693234,TRUE,TRUE
David Haynes,56.424,52.031,38.084,1788.594,76131.165,229474.413,4.5,10.2,14.5,32.9,37.60421164,TRUE,TRUE,TRUE,3.369433679,2.101132176,1.065857628,-4.3398357,7.48641446,-8.52322602,3.568261561,2.068732868,-2.845379945,2.235937598,37.60421164,TRUE,TRUE
Gerald Blevins,39.56571429,58.54285714,21.55,3772.074286,69282.25429,638039.0486,3.142857143,8.571428571,11.85714286,28.71428571,37.27852537,TRUE,TRUE,TRUE,-1.806118313,4.209656415,-5.83132099,6.953154398,5.484954084,2.175979713,-1.273422164,-1.481508953,-7.445234473,-0.617175864,37.27852537,TRUE,TRUE
Nicole Oconnor,46.25875,34.13875,35.21875,2420.92,32903.08,685147.1875,2.25,5.75,12.5,22,36.97690672,TRUE,TRUE,TRUE,0.248666789,-3.692336873,-0.129384965,-0.739673244,-5.146149003,3.409614801,-4.458740404,-7.632147196,-6.326350939,-5.19384251,36.97690672,TRUE,TRUE
Jerome Ramsey,59.98428571,24.82285714,24.06142857,3402.844286,48843.92,650286.3371,4.714285714,8.285714286,17.57142857,35.71428571,36.8820544,TRUE,TRUE,TRUE,4.462453701,-6.708801372,-4.783675445,4.850934999,-0.487749887,2.496703165,4.332737939,-2.104358395,2.500396939,4.154242554,36.8820544,TRUE,TRUE
Susan Clark,53.14285714,29.27857143,20.48857143,2718.122857,39491.83714,593653.0086,3,5.571428571,12.14285714,31.14285714,36.87972888,TRUE,TRUE,TRUE,2.36211148,-5.266051422,-6.274097236,0.95245798,-3.220713427,1.013629054,-1.783073082,-8.021428097,-6.947952903,1.038214199,36.87972888,TRUE,TRUE
Meghan Hall,57.935,39.09875,42.56,2763.86875,38532.115,578780.6563,2.75,12.125,20.625,38,36.65838549,TRUE,TRUE,TRUE,3.833315903,-2.086300378,2.933026582,1.212913261,-3.501173476,0.624162263,-2.674962189,6.265180986,7.815093724,5.712256731,36.65838549,TRUE,TRUE
Alexa Robinson,39.76571429,26.47714286,25.99142857,2245.62,42212.60286,612843.2586,2.714285714,9,13.14285714,14.85714286,36.1956931,TRUE,TRUE,TRUE,-1.744717621,-6.173147495,-3.97857355,-1.737747779,-2.425622792,1.516169937,-2.802374919,-0.54723479,-5.207467405,-10.06263681,36.1956931,TRUE,TRUE
Anna Scott,30.29285714,45.34142857,39.06571429,1794.565714,21487.69286,615295.4971,2,5.714285714,15,30.28571429,36.05125895,TRUE,TRUE,TRUE,-4.652917511,-0.064935536,1.47538096,-4.305835609,-8.482072917,1.58038745,-5.350629511,-7.710003376,-1.975137197,0.453958883,36.05125895,TRUE,TRUE
Kimberly Peterson,31.93454545,63.74090909,36.26454545,1978.087273,44608.25364,700866.6182,5.363636364,11.27272727,15.54545455,36.54545455,35.95947046,TRUE,TRUE,TRUE,-4.148913524,5.892773579,0.306869906,-3.260951444,-1.725540646,3.821264289,6.649333023,4.407249411,-1.025781471,4.720793164,35.95947046,TRUE,TRUE
Linda Short,27.92,42.22857143,19.80571429,1808.188571,48377.53143,787801.5857,3.428571429,7.857142857,11.71428571,28.42857143,35.76194502,TRUE,TRUE,TRUE,-5.381392857,-1.072871459,-6.55895194,-4.228273562,-0.624042837,6.097856588,-0.254120327,-3.038632559,-7.693875258,-0.811927636,35.76194502,TRUE,TRUE
Charles Rodriguez,62.16,57.63571429,28.53857143,1389.698571,62137.15143,490626.8886,3.857142857,10.28571429,15.28571429,39.57142857,35.4462685,TRUE,TRUE,TRUE,5.130405508,3.915925662,-2.916029746,-6.61095589,3.39693734,-1.684347124,1.274832428,2.255587701,-1.477855626,6.783391478,35.4462685,TRUE,TRUE
Jasmine Evans,54.765,51.8425,24.21375,2286.36,39161.55375,313304.6013,3.125,11.375,20.125,31.875,35.22075742,TRUE,TRUE,TRUE,2.860114944,2.040096313,-4.720134372,-1.505793663,-3.317232297,-6.327939515,-1.337128529,4.6302012,6.944850976,1.537265615,35.22075742,TRUE,TRUE
